,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace,size_MinMax,distance_MinMax
39,750.0,studio,rent,40.0,True,0,1,Madrid,Madrid,2417,good,False,en,Arganzuela,True,desconocido,0.10752688172043012,0.03960080123375818
40,650.0,flat,rent,35.0,False,1,1,Madrid,Madrid,1121,good,False,2,Centro,True,desconocido,0.08064516129032259,0.016627373123216282
41,720.0,flat,rent,70.0,True,3,1,Madrid,Alcalá de Henares,29099,good,False,2,Chorrillo,False,desconocido,0.2688172043010753,0.512576888305887
42,699.0,flat,rent,52.0,True,1,1,Madrid,Madrid,7092,good,False,3,Puente de Vallecas,True,desconocido,0.17204301075268819,0.12247177069115274
43,750.0,flat,rent,65.0,True,2,1,Madrid,Leganés,13081,good,False,desconocido,Valdepelayo - Montepinos - Arroyo Culebro,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.24193548387096775,0.22863524364951343
44,695.0,flat,rent,65.0,True,2,1,Madrid,Coslada,13904,good,False,desconocido,Valleaguado - La Cañada,True,desconocido,0.24193548387096775,0.2432240795561307
45,750.0,flat,rent,78.0,True,2,2,Madrid,Torrejón de Ardoz,19719,good,False,desconocido,Suroeste,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.3118279569892473,0.3463031570737241
46,620.0,flat,rent,60.0,True,2,1,Madrid,Madrid,7981,good,False,desconocido,Villaverde,False,desconocido,0.21505376344086025,0.13823054969599208
47,500.0,studio,rent,28.0,False,0,1,Madrid,Madrid,769,good,False,1,Centro,False,desconocido,0.04301075268817203,0.010387676599365396
48,550.0,flat,rent,38.0,True,1,1,Madrid,Leganés,10938,good,False,desconocido,Centro,False,desconocido,0.0967741935483871,0.19064754577845533
49,750.0,flat,rent,46.0,False,1,1,Madrid,Madrid,1476,good,False,3,Arganzuela,True,desconocido,0.13978494623655915,0.022920248878804533
50,680.0,studio,rent,55.0,True,0,1,Madrid,Madrid,5097,good,False,bj,Ciudad Lineal,False,desconocido,0.1881720430107527,0.08710758158580469
51,700.0,flat,rent,50.0,True,1,2,Madrid,Camarma de Esteruelas,32052,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.16129032258064518,0.5649229787460338
52,750.0,duplex,rent,35.0,True,1,1,Madrid,Madrid,4047,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,0.08064516129032259,0.06849485047772676
53,750.0,flat,rent,66.0,True,2,1,Madrid,Alcorcón,13311,good,False,1,Centro,True,desconocido,0.24731182795698925,0.23271231808271145
54,650.0,flat,rent,65.0,True,1,1,Madrid,Alcalá de Henares,29440,good,False,en,San Isidro - Los Almendros,True,desconocido,0.24193548387096775,0.5186215943133675
55,720.0,flat,rent,133.0,False,3,2,Madrid,Pinto,19453,good,False,1,San José - Buenos Aires,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.6075268817204301,0.34158793185967773
56,600.0,flat,rent,50.0,True,1,1,Madrid,Valdemoro,24430,good,False,desconocido,Hospital,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.16129032258064518,0.4298122773119671
57,650.0,flat,rent,61.0,True,1,1,Madrid,Collado Villalba,34886,good,False,2,Parque de la Coruña - Las Suertes,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.22043010752688175,0.6151596263272651
58,650.0,flat,rent,65.0,False,2,1,Madrid,Alcorcón,11537,good,False,3,Valderas - Los Castillos,False,desconocido,0.24193548387096775,0.20126566571534932
59,700.0,flat,rent,45.0,True,1,1,Madrid,Madrid,12321,good,False,3,Barajas,False,desconocido,0.13440860215053763,0.21516317160938084
60,625.0,flat,rent,62.0,True,2,1,Madrid,Getafe,11666,good,False,bj,Getafe Centro,False,desconocido,0.22580645161290325,0.20355237268005602
61,595.0,flat,rent,45.0,True,1,1,Madrid,Madrid,4543,good,False,bj,Latina,False,desconocido,0.13440860215053763,0.0772871501249712
62,650.0,flat,rent,55.0,True,1,1,Madrid,Madrid,10495,good,False,4,San Blas,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1881720430107527,0.18279474589190436
63,725.0,flat,rent,50.0,True,1,1,Madrid,Madrid,7708,good,False,2,Villaverde,True,desconocido,0.16129032258064518,0.13339123960789181
64,750.0,flat,rent,95.0,True,3,1,Madrid,Alcalá de Henares,28483,good,False,8,Reyes Católicos,True,desconocido,0.4032258064516129,0.501657419389148
65,700.0,penthouse,rent,30.0,True,1,1,Madrid,Madrid,12049,good,False,1,San Blas,True,desconocido,0.05376344086021506,0.2103415879318597
66,700.0,flat,rent,27.0,False,1,1,Madrid,Madrid,1391,good,False,3,Centro,False,desconocido,0.03763440860215053,0.02141350397957918
67,650.0,flat,rent,59.0,True,2,1,Madrid,Alcalá de Henares,30562,good,False,1,Val,True,desconocido,0.20967741935483875,0.5385106269831422
68,550.0,flat,rent,40.0,True,1,1,Madrid,Paracuellos de Jarama,17750,good,False,3,Casco Urbano,True,desconocido,0.10752688172043012,0.3113998546434332
69,650.0,flat,rent,55.0,True,1,1,Madrid,Madrid,10296,good,False,4,San Blas,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1881720430107527,0.17926719018665913
70,750.0,flat,rent,65.0,True,2,1,Madrid,Madrid,5580,good,False,desconocido,Ciudad Lineal,True,desconocido,0.24193548387096775,0.09566943789552053
71,725.0,flat,rent,70.0,True,2,1,Madrid,Madrid,4117,good,False,desconocido,Puente de Vallecas,True,desconocido,0.2688172043010753,0.06973569921826529
72,700.0,flat,rent,80.0,True,1,1,Madrid,Alcalá de Henares,29460,good,False,1,Casco Histórico,False,desconocido,0.32258064516129037,0.51897612252495
73,650.0,flat,rent,40.0,True,1,1,Madrid,Madrid,12224,good,False,bj,Barajas,True,desconocido,0.10752688172043012,0.213443709783206
74,695.0,flat,rent,90.0,True,3,1,Madrid,Madrid,7729,good,False,desconocido,Villaverde,False,desconocido,0.3763440860215054,0.13376349423005338
75,750.0,flat,rent,55.0,True,1,1,Madrid,Madrid,6017,good,False,desconocido,Ciudad Lineal,False,desconocido,0.1881720430107527,0.10341587931859678
76,650.0,flat,rent,65.0,True,2,1,Madrid,Madrid,7559,good,False,desconocido,Latina,True,desconocido,0.24193548387096775,0.13075000443160265
77,666.0,flat,rent,70.0,True,1,2,Madrid,Villanueva del Pardillo,24862,good,False,1,Los Llanos - Valle Pardo,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.2688172043010753,0.4374700866821477
78,750.0,flat,rent,78.0,True,2,2,Madrid,Alcalá de Henares,29976,good,False,desconocido,Ensanche,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.3118279569892473,0.5281229503837769
79,630.0,flat,rent,74.0,True,3,1,Madrid,El Molar,36483,good,False,desconocido,desconocido,True,desconocido,0.2903225806451613,0.6434687040221226
80,635.0,studio,rent,55.0,True,0,1,Madrid,Leganés,14528,good,False,2,Valdepelayo - Montepinos - Arroyo Culebro,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1881720430107527,0.2542853597575027
81,725.0,flat,rent,69.0,True,2,1,Madrid,Collado Villalba,35892,good,False,1,Dehesa - El Soto,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.26344086021505375,0.6329923953698616
