,price,propertyType,operation,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000,outliers_lof_0.01_20,outliers_lof_0.01_35,outliers_lof_0.01_50,outliers_lof_0.05_20,outliers_lof_0.05_35,outliers_lof_0.05_50,outliers_lof_0.1_20,outliers_lof_0.1_35,outliers_lof_0.1_50
17,650.0,flat,rent,60.0,True,2,1,Madrid,Madrid,3985.0,good,False,1,Puente de Vallecas,False,desconocido,0.2150537634408602,0.0673958130218212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,650.0,chalet,rent,206.0,False,3,1,Madrid,Aldea del Fresno,43195.0,good,False,desconocido,desconocido,desconocido,desconocido,1.0,0.7624483718291883,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,700.0,flat,rent,105.0,True,3,2,Madrid,Aranjuez,44003.0,good,False,bj,Centro,False,desconocido,0.456989247311828,0.7767713115771189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,695.0,flat,rent,40.0,False,1,1,Madrid,Madrid,2271.0,good,False,4,Barrio de Salamanca,True,desconocido,0.1075268817204301,0.0370127452892063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
21,675.0,flat,rent,40.0,True,1,1,Madrid,Villanueva del Pardillo,23556.0,good,False,bj,Centro,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1075268817204301,0.4143193944658146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
22,750.0,studio,rent,45.0,False,0,1,Madrid,Madrid,1027.0,good,False,bj,Centro,True,desconocido,0.1344086021505376,0.0149610905287788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,750.0,flat,rent,99.0,True,3,2,Madrid,Aranjuez,43492.0,good,False,1,Centro,True,desconocido,0.424731182795699,0.7677131157711876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
24,680.0,flat,rent,38.0,False,1,1,Madrid,Madrid,2591.0,good,False,1,Retiro,True,desconocido,0.0967741935483871,0.0426851966745253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
25,750.0,flat,rent,51.0,True,1,1,Madrid,Madrid,11896.0,good,False,1,Barajas,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.1666666666666666,0.207629447113254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,750.0,penthouse,rent,60.0,True,1,1,Madrid,Las Rozas de Madrid,21316.0,good,False,2,Las Matas- Peñascales,False,desconocido,0.2150537634408602,0.3746122347685817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,750.0,studio,rent,25.0,False,0,1,Madrid,Madrid,533.0,good,False,4,Centro,True,desconocido,0.0268817204301075,0.0062042437026926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,750.0,flat,rent,40.0,False,1,1,Madrid,Madrid,1989.0,good,False,1,Arganzuela,False,desconocido,0.1075268817204301,0.032013897505894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,650.0,flat,rent,62.0,True,2,1,Madrid,Madrid,7841.0,good,False,1,Latina,False,desconocido,0.2258064516129032,0.135748852214915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,750.0,studio,rent,30.0,True,0,1,Madrid,Madrid,935.0,good,False,3,Centro,False,desconocido,0.053763440860215,0.0133302607554996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,750.0,flat,rent,39.0,False,1,1,Madrid,Madrid,2036.0,good,False,5,Chamberí,False,desconocido,0.1021505376344086,0.0328470388031127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,700.0,flat,rent,62.0,True,2,1,Madrid,Madrid,8492.0,good,False,3,Villaverde,False,desconocido,0.2258064516129032,0.1472887455019233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,747.0,flat,rent,96.0,True,3,2,Madrid,Navalcarnero,26611.0,good,False,1,La Dehesa - El Pinar,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.4086021505376344,0.4684735787850318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,640.0,studio,rent,35.0,True,0,1,Madrid,Madrid,7324.0,good,False,1,Villaverde,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.0806451612903225,0.126584297945509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
35,750.0,flat,rent,30.0,False,1,1,Madrid,Madrid,2133.0,good,False,st,Retiro,True,desconocido,0.053763440860215,0.0345665006292875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,750.0,flat,rent,70.0,True,2,1,Madrid,Alcalá de Henares,28703.0,good,False,2,Reyes Católicos,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",0.2688172043010753,0.5055572297165547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,625.0,flat,rent,52.0,True,2,1,Madrid,El Escorial,40445.0,good,False,2,Centro,False,desconocido,0.1720430107526881,0.7137007427366033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,700.0,studio,rent,40.0,True,0,1,Madrid,Madrid,1431.0,good,False,3,Centro,True,desconocido,0.1075268817204301,0.022122560402744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,750.0,studio,rent,40.0,True,0,1,Madrid,Madrid,2417.0,good,False,en,Arganzuela,True,desconocido,0.1075268817204301,0.0396008012337581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,650.0,flat,rent,35.0,False,1,1,Madrid,Madrid,1121.0,good,False,2,Centro,True,desconocido,0.0806451612903225,0.0166273731232162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,720.0,flat,rent,70.0,True,3,1,Madrid,Alcalá de Henares,29099.0,good,False,2,Chorrillo,False,desconocido,0.2688172043010753,0.512576888305887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,699.0,flat,rent,52.0,True,1,1,Madrid,Madrid,7092.0,good,False,3,Puente de Vallecas,True,desconocido,0.1720430107526881,0.1224717706911527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
